,value,has_keyword,pred,class
0,iphone se review apples 399 iphone lives up to the hype,1,0.9712390941116468,1
1,in a normal year the process of reviewing a new iphone might start with a flashy press event followed some days later by a carefullystaged unboxing while a professional camera rolls on a perfectly composed reviewer,1,0.8564889573443322,1
2,iphone se 2020 review,0,0.9744992881715011,1
3,light compact design,1,0.9855328087770598,1
4,for the past few years phonemakers have said that if you want a small phone you must have small demands,1,0.982841552352349,1
5,even at launch the apple iphone se wasnt the most exciting phone that the company ever released but it was a model that people had been clamouring for,1,0.9874887238013603,1
6,the new 399 iphone se looks like an iphone 8 but works like apples topofthe line iphone 11 pro,1,0.9950066726255193,1
7,but this time it started with a virtual presentation and ended with me stepping out my front door with gloves clorox wipes and hair that hadnt been brushed since who knows when to anxiously disinfect a package from apple,1,0.8845639105133758,1
8,the 2020 iphone se is lightweight cheap and futureproofed  well done apple,1,0.9730220425384073,1
9,classleading performance,0,0.8803280637139227,1
10,but that just isnt true,1,0.9762606017749802,1
11,a neat antidote to large phones the iphone se was the last truly small iphone,1,0.9888240145254247,1
12,there are a lot of ways to think about apples new 399 iphone se,1,0.9897480823812084,1
13,all the glamor of a typical iphone launch was gone,1,0.9431469567938908,1
14,this is the phone to get if you just want a new iphone and one that will last you a few years but don’t want to pay a lot for it,1,0.9928500428514729,1
15,loud enjoyable audio,1,0.9584018395699634,1
16,some people have small hands and big ideas,1,0.9867236374559435,1
17,now hard to find bar as refurbished models the iphone se isnt quite the recommend choice than it once was,1,0.9825906181425572,1
18,one is that its a more affordable option than the iphone 11 699 at apple with surprisingly similar camera specs which it is,1,0.9933464438059517,1
19,and yet once opened the device itself ,1,0.9754955607173577,1
20,if you’re after ‘decent but not topend’ performance then that’s what the iphone se 2020 will offer you there’s a good camera enough power a great app store to plunder and a lighterweight design than the current crop of iphone 11 models,1,0.9951696560907398,1
21,great camera,1,0.9929949710848228,1
22,the new iphone se from apple 399 for 32gb 499 for 128gb is the small phone that many people have been waiting for with a careful balance of components that keep it current while also hitting a midrange price point,1,0.9901795507201513,1
23,still if you want a very small apple handset theres no alternative and the iphone se is still an alright phone and you can even update it to run ios 13,1,0.9972585225765963,1
24,or that its the 2020 sequel to the original se from 2016 which it also is,1,0.9859974313838757,1
25,the new lowercost iphone se ,0,0.9559118188198777,1
26,battery life could be better the screen tech is starting to age and some upgraders will miss the headphone jack but overall the smart improvements make this – for the price – one of the best iphones apple has ever made,1,0.9953073444085412,1
27,ios is excellent,1,0.9810893249606598,1
28,anyone who has been driven nuts by increasingly large devices and wants to return to simpler onehanded days will love this phone,1,0.9483254738537717,1
29,compact body,1,0.967722371897215,1
30,or at 47 inches that its the smallest and cheapest iphone you can currently buy,1,0.958148187628784,1
31,felt like a throwback to a simpler time when consumers stood in long lines on the street for a new gadget rather than toilet paper,1,0.9331152010848008,1
32,the iphone se 2020 is built around one goal to create a new iphone for less money than ever and it achieves that well,1,0.9924203319673889,1
33,not a great display for 400,1,0.9910211507806369,1
34,its our editors choice for smaller smartphones,1,0.9809932910729231,1
35,great camera,1,0.9929949710848228,1
36,or and this is my favorite way to think about it that its an iphone 8 with the brains and power of an iphone 11,1,0.9827047438590468,1
37,the se device which began shipping to customers on friday and comes in white black and red takes us back to 2017 when apple aapl launched the iphone 8,1,0.9831890169325997,1
